secret_seed,decrypt_success_rate,secret_l2_norm,secret_linf_norm,mean_abs_public_error
0,0.54296875,4.898979485566356,3.0,2.6333333333333333
1,0.61328125,4.0,2.0,2.5083333333333333
2,0.75390625,4.358898943540674,2.0,2.283333333333333
3,0.8984375,3.605551275463989,2.0,2.0416666666666665
4,0.91796875,3.605551275463989,2.0,2.558333333333333
5,0.9375,4.0,2.0,2.408333333333333
6,0.9296875,4.358898943540674,2.0,2.375
7,0.8359375,4.358898943540674,2.0,2.175
8,0.90234375,4.0,2.0,2.5416666666666665
9,0.91015625,4.69041575982343,2.0,2.441666666666667
