secret_seed,decrypt_success_rate,secret_l2_norm,secret_linf_norm,mean_abs_public_error
0,0.8671875,3.1622776601683795,1.0,2.525
1,0.796875,3.1622776601683795,1.0,2.4
2,0.74609375,3.1622776601683795,1.0,2.216666666666667
3,0.83984375,3.1622776601683795,1.0,2.433333333333333
4,0.5390625,3.1622776601683795,1.0,2.6
5,0.9453125,3.1622776601683795,1.0,2.2916666666666665
6,0.8125,3.1622776601683795,1.0,2.475
7,0.81640625,3.1622776601683795,1.0,2.466666666666667
8,0.96875,3.1622776601683795,1.0,2.2083333333333335
9,0.62890625,3.1622776601683795,1.0,2.6416666666666666
