dataset,secret_seed,decrypt_success_rate
ab_binary_h10_s10,0,0.3984375
ab_binary_h10_s10,1,0.953125
ab_binary_h10_s10,2,0.39453125
ab_binary_h10_s10,3,0.86328125
ab_binary_h10_s10,4,0.8203125
ab_binary_h10_s10,5,0.93359375
ab_binary_h10_s10,6,0.93359375
ab_binary_h10_s10,7,0.8984375
ab_binary_h10_s10,8,0.90234375
ab_binary_h10_s10,9,0.8203125
ab_ternary_h10_s10,0,0.87890625
ab_ternary_h10_s10,1,0.76953125
ab_ternary_h10_s10,2,0.94140625
ab_ternary_h10_s10,3,0.94921875
ab_ternary_h10_s10,4,0.79296875
ab_ternary_h10_s10,5,0.9453125
ab_ternary_h10_s10,6,0.89453125
ab_ternary_h10_s10,7,0.9296875
ab_ternary_h10_s10,8,0.8671875
ab_ternary_h10_s10,9,0.8203125
ab_gaussian_h10_s10,0,0.90234375
ab_gaussian_h10_s10,1,0.78125
ab_gaussian_h10_s10,2,0.9140625
ab_gaussian_h10_s10,3,0.73828125
ab_gaussian_h10_s10,4,0.72265625
ab_gaussian_h10_s10,5,0.91015625
ab_gaussian_h10_s10,6,0.11328125
ab_gaussian_h10_s10,7,0.9765625
ab_gaussian_h10_s10,8,0.9375
ab_gaussian_h10_s10,9,0.93359375
ab_binomial_h10_s10,0,1.0
ab_binomial_h10_s10,1,1.0
ab_binomial_h10_s10,2,1.0
ab_binomial_h10_s10,3,1.0
ab_binomial_h10_s10,4,1.0
ab_binomial_h10_s10,5,1.0
ab_binomial_h10_s10,6,1.0
ab_binomial_h10_s10,7,1.0
ab_binomial_h10_s10,8,1.0
ab_binomial_h10_s10,9,1.0
ab_proposed_random_sparse_h10_s10,0,0.5234375
ab_proposed_random_sparse_h10_s10,1,0.6875
ab_proposed_random_sparse_h10_s10,2,0.76171875
ab_proposed_random_sparse_h10_s10,3,0.8671875
ab_proposed_random_sparse_h10_s10,4,0.92578125
ab_proposed_random_sparse_h10_s10,5,0.92578125
ab_proposed_random_sparse_h10_s10,6,0.93359375
ab_proposed_random_sparse_h10_s10,7,0.83984375
ab_proposed_random_sparse_h10_s10,8,0.921875
ab_proposed_random_sparse_h10_s10,9,0.91796875
ab_proposed_ternary_h10_s10,0,0.86328125
ab_proposed_ternary_h10_s10,1,0.765625
ab_proposed_ternary_h10_s10,2,0.74609375
ab_proposed_ternary_h10_s10,3,0.8359375
ab_proposed_ternary_h10_s10,4,0.46484375
ab_proposed_ternary_h10_s10,5,0.96875
ab_proposed_ternary_h10_s10,6,0.76953125
ab_proposed_ternary_h10_s10,7,0.7578125
ab_proposed_ternary_h10_s10,8,0.95703125
ab_proposed_ternary_h10_s10,9,0.59765625
