seed_index,baseline_nonzero_count,baseline_support_ratio,baseline_l1_norm,baseline_l2_norm,baseline_linf_norm,baseline_mean,baseline_std,baseline_abs_mean,baseline_sparsity_ratio,baseline_entropy,baseline_positive_count,baseline_negative_count,baseline_decrypt_success_rate,baseline_decrypt_failure_rate,baseline_avg_effective_noise,baseline_noise_margin_mean,proposed_nonzero_count,proposed_support_ratio,proposed_l1_norm,proposed_l2_norm,proposed_linf_norm,proposed_mean,proposed_std,proposed_abs_mean,proposed_sparsity_ratio,proposed_entropy,proposed_positive_count,proposed_negative_count,proposed_decrypt_success_rate,proposed_decrypt_failure_rate,proposed_avg_effective_noise,proposed_noise_margin_mean,coord_equal_ratio,support_equal,support_intersection_count,support_union_count,support_jaccard,sign_equal_shared_support_ratio,delta_l1_norm,delta_l2_norm,delta_abs_mean,delta_entropy,delta_decrypt_success_rate,delta_noise_margin_mean
0,3,0.1,3.0,1.7320508075688772,1.0,-0.1,0.3,0.1,0.9,0.4689955935892812,0,3,0.89453125,0.10546875,15.7578125,15.9921875,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.31446603773522014,0.1,0.9,0.5608251769947302,1,2,0.91796875,0.08203125,15.2890625,16.4609375,0.8,False,0,6,0.0,,0.0,0.0,0.0,0.091829583405449,0.0234375,0.46875
1,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947302,1,2,0.88671875,0.11328125,17.42578125,14.32421875,3,0.1,3.0,1.7320508075688772,1.0,0.03333333333333333,0.31446603773522025,0.1,0.9,0.5608251769947301,2,1,0.90234375,0.09765625,15.1484375,16.6015625,0.8,False,0,6,0.0,,0.0,0.0,0.0,-1.1102230246251565e-16,0.015625,2.27734375
2,3,0.1,3.0,1.7320508075688772,1.0,0.1,0.3,0.1,0.9,0.4689955935892812,3,0,0.78515625,0.21484375,21.015625,10.734375,3,0.1,3.0,1.7320508075688772,1.0,-0.1,0.3,0.1,0.9,0.4689955935892812,0,3,0.734375,0.265625,22.28515625,9.46484375,0.8333333333333334,False,1,5,0.2,0.0,0.0,0.0,0.0,0.0,-0.05078125,-1.26953125
3,3,0.1,3.0,1.7320508075688772,1.0,0.1,0.3,0.1,0.9,0.4689955935892812,3,0,0.9375,0.0625,12.77734375,18.97265625,3,0.1,3.0,1.7320508075688772,1.0,0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947301,2,1,0.90234375,0.09765625,15.5234375,16.2265625,0.8666666666666667,False,1,5,0.2,1.0,0.0,0.0,0.0,0.09182958340544889,-0.03515625,-2.74609375
4,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947302,1,2,0.875,0.125,15.44921875,16.30078125,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947302,1,2,0.91796875,0.08203125,14.26953125,17.48046875,0.8,False,0,6,0.0,,0.0,0.0,0.0,0.0,0.04296875,1.1796875
5,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947302,1,2,0.94140625,0.05859375,12.8828125,18.8671875,3,0.1,3.0,1.7320508075688772,1.0,0.1,0.3,0.1,0.9,0.4689955935892812,3,0,0.87890625,0.12109375,16.234375,15.515625,0.8666666666666667,False,1,5,0.2,1.0,0.0,0.0,0.0,-0.091829583405449,-0.0625,-3.3515625
6,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.31446603773522014,0.1,0.9,0.5608251769947302,1,2,0.90234375,0.09765625,14.23046875,17.51953125,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947302,1,2,0.9453125,0.0546875,12.828125,18.921875,0.8,False,0,6,0.0,,0.0,0.0,0.0,0.0,0.04296875,1.40234375
7,3,0.1,3.0,1.7320508075688772,1.0,-0.1,0.29999999999999993,0.1,0.9,0.4689955935892812,0,3,0.4375,0.5625,33.75,-2.0,3,0.1,3.0,1.7320508075688772,1.0,0.1,0.3,0.1,0.9,0.4689955935892812,3,0,0.58203125,0.41796875,28.1796875,3.5703125,0.8,False,0,6,0.0,,0.0,0.0,0.0,0.0,0.14453125,5.5703125
8,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.31446603773522014,0.1,0.9,0.5608251769947302,1,2,0.9609375,0.0390625,13.57421875,18.17578125,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947302,1,2,0.859375,0.140625,16.08203125,15.66796875,0.8333333333333334,False,1,5,0.2,0.0,0.0,0.0,0.0,0.0,-0.1015625,-2.5078125
9,3,0.1,3.0,1.7320508075688772,1.0,0.1,0.3,0.1,0.9,0.4689955935892812,3,0,0.859375,0.140625,18.02734375,13.72265625,3,0.1,3.0,1.7320508075688772,1.0,-0.03333333333333333,0.3144660377352202,0.1,0.9,0.5608251769947302,1,2,0.8671875,0.1328125,16.6328125,15.1171875,0.8,False,0,6,0.0,,0.0,0.0,0.0,0.091829583405449,0.0078125,1.39453125
