metric,mean,std,min,max
baseline_nonzero_count,3.0,0.0,3.0,3.0
baseline_support_ratio,0.1,0.0,0.1,0.1
baseline_l1_norm,3.0,0.0,3.0,3.0
baseline_l2_norm,1.7320508075688772,0.0,1.7320508075688772,1.7320508075688772
baseline_linf_norm,1.0,0.0,1.0,1.0
baseline_mean,-0.006666666666666665,0.07423685817106697,-0.1,0.1
baseline_std,0.30723301886761006,0.007233018867610097,0.29999999999999993,0.3144660377352202
baseline_abs_mean,0.1,0.0,0.1,0.1
baseline_sparsity_ratio,0.9,0.0,0.9,0.9
baseline_entropy,0.5149103852920057,0.0459147917027245,0.4689955935892812,0.5608251769947302
baseline_positive_count,1.4,1.1135528725660044,0.0,3.0
baseline_negative_count,1.6,1.1135528725660044,0.0,3.0
baseline_decrypt_success_rate,0.848046875,0.1447153599324917,0.4375,0.9609375
baseline_decrypt_failure_rate,0.151953125,0.14471535993249168,0.0390625,0.5625
baseline_avg_effective_noise,17.4890625,5.947007139805571,12.77734375,33.75
baseline_noise_margin_mean,14.2609375,5.947007139805571,-2.0,18.97265625
proposed_nonzero_count,3.0,0.0,3.0,3.0
proposed_support_ratio,0.1,0.0,0.1,0.1
proposed_l1_norm,3.0,0.0,3.0,3.0
proposed_l2_norm,1.7320508075688772,0.0,1.7320508075688772,1.7320508075688772
proposed_linf_norm,1.0,0.0,1.0,1.0
proposed_mean,1.3877787807814458e-18,0.06146362971528592,-0.1,0.1
proposed_std,0.31012622641465415,0.006629171292773414,0.3,0.31446603773522025
proposed_abs_mean,0.1,0.0,0.1,0.1
proposed_sparsity_ratio,0.9,0.0,0.9,0.9
proposed_entropy,0.5332763019730955,0.04208160169917306,0.4689955935892812,0.5608251769947302
proposed_positive_count,1.5,0.9219544457292888,0.0,3.0
proposed_negative_count,1.5,0.9219544457292888,0.0,3.0
proposed_decrypt_success_rate,0.85078125,0.10497279223386888,0.58203125,0.9453125
proposed_decrypt_failure_rate,0.14921875,0.10497279223386888,0.0546875,0.41796875
proposed_avg_effective_noise,17.247265625,4.327428676076962,12.828125,28.1796875
proposed_noise_margin_mean,14.502734375,4.327428676076962,3.5703125,18.921875
coord_equal_ratio,0.82,0.02666666666666666,0.8,0.8666666666666667
support_equal,0.0,0.0,0.0,0.0
support_intersection_count,0.4,0.48989794855663565,0.0,1.0
support_union_count,5.6,0.4898979485566356,5.0,6.0
support_jaccard,0.08,0.09797958971132713,0.0,0.2
delta_l1_norm,0.0,0.0,0.0,0.0
delta_l2_norm,0.0,0.0,0.0,0.0
delta_abs_mean,0.0,0.0,0.0,0.0
delta_entropy,0.018365916681089778,0.05509775004326939,-0.091829583405449,0.091829583405449
delta_decrypt_success_rate,0.002734375,0.06587679559044766,-0.1015625,0.14453125
delta_noise_margin_mean,0.241796875,2.60437187017038,-3.3515625,5.5703125
